card_name,f1,f1_sig_strike_per,f1_sig_strike_total,f1_td_attempt,f1_td_succeed,f2,f2_sig_strike_per,f2_sig_strike_total,f2_td_attempt,f2_td_succeed,fights_location,round_format,round_fought,weight_class,winner,winning_method,fight_year,SApM_f1,SLpM_f1,height_f1,reach_f1,stance_f1,strAcc_f1,strDef_f1,subAvg_f1,tdAcc_f1,tdAvg_f1,tdDef_f1,weight_f1,born_year_f1,win_f1,lose_f1,draw_f1,nc_f1,SApM_f2,SLpM_f2,height_f2,reach_f2,stance_f2,strAcc_f2,strDef_f2,subAvg_f2,tdAcc_f2,tdAvg_f2,tdDef_f2,weight_f2,born_year_f2,win_f2,lose_f2,draw_f2,nc_f2,f1_age_when_fight,f2_age_when_fight
UFC on FUEL TV: Gustafsson vs Silva,Eric Wisely,0.51,86,6,4,Jason Young,0.52,69,1,0,"Stockholm, Sweden",3,3,Featherweight,0,U-DEC,2012,2.08,1.42,172.72,70.0,Southpaw,0.47,0.56,0.9,0.0,0.0,0.27,145,1984,26,9,1,0,3.2,2.97,175.26,73.0,Orthodox,0.37,0.5,0.0,0.66,1.98,0.55,145,1986,9,6,0,0,28,26
UFC on FUEL TV: Korean Zombie vs Poirier,Alex Soto,0.23,178,10,3,Francisco Rivera,0.39,173,0,0,"Fairfax, Virginia, USA",3,3,Bantamweight,0,U-DEC,2012,5.02,2.95,172.72,70.0,Southpaw,0.25,0.59,0.0,0.3,2.82,0.0,135,1984,8,3,1,0,3.16,4.07,172.72,70.0,Orthodox,0.41,0.68,0.6,0.63,1.01,0.68,135,1981,11,7,0,1,28,31
UFC 146: Dos Santos vs Mir,Glover Teixeira,0.26,19,1,0,Kyle Kingsbury,0.5,30,0,0,"Las Vegas, Nevada, USA",3,1,Light Heavyweight,1,SUB,2012,3.84,3.75,187.96,76.0,Orthodox,0.47,0.54,1.0,0.4,2.04,0.6,205,1979,32,7,0,0,3.81,2.97,193.04,79.0,Orthodox,0.4,0.51,0.0,0.41,2.64,0.52,205,1982,11,6,0,1,33,30
UFC on FOX: Diaz vs Miller,Tim Elliott,0.34,233,4,2,John Dodson,0.35,225,5,0,"East Rutherford, New Jersey, USA",3,3,Flyweight,0,U-DEC,2012,2.49,3.35,170.18,66.0,Southpaw,0.45,0.59,1.1,0.49,4.01,0.58,125,1986,18,11,1,0,3.58,3.2,160.02,66.0,Orthodox,0.4,0.61,0.0,0.28,0.71,0.82,135,1984,22,12,0,0,26,28
UFC 146: Dos Santos vs Mir,Dan Hardy,0.62,29,2,0,Duane Ludwig,0.44,38,0,0,"Las Vegas, Nevada, USA",3,1,Welterweight,1,KO/TKO,2012,3.44,2.46,182.88,74.0,Orthodox,0.35,0.51,0.4,0.35,0.73,0.35,170,1982,25,10,0,1,3.05,4.62,177.8,70.0,Orthodox,0.44,0.57,0.1,0.25,0.43,0.59,170,1978,21,14,0,0,30,34
UFC 146: Dos Santos vs Mir,Jacob Volkmann,0.4,5,0,0,Paul Sass,0.25,4,0,0,"Las Vegas, Nevada, USA",3,1,Lightweight,0,SUB,2012,1.78,1.19,175.26,71.0,Southpaw,0.34,0.52,2.0,0.48,3.19,0.52,155,1980,19,7,0,0,1.9,0.53,182.88,73.0,Orthodox,0.26,0.51,7.4,0.16,0.53,0.33,155,1988,14,2,0,0,32,24
UFC 146: Dos Santos vs Mir,Mike Brown,0.56,67,5,2,Daniel Pineda,0.35,80,3,1,"Las Vegas, Nevada, USA",3,3,Featherweight,1,U-DEC,2012,2.45,2.98,167.64000000000001,70.0,Orthodox,0.44,0.6,0.6,0.4,3.23,0.66,145,1975,26,9,0,0,2.97,3.35,170.18,69.0,Orthodox,0.48,0.45,1.6,0.22,1.42,0.42,145,1985,27,14,0,3,37,27
UFC 146: Dos Santos vs Mir,Darren Elkins,0.48,47,0,0,Diego Brandao,0.4,88,6,1,"Las Vegas, Nevada, USA",3,3,Featherweight,1,U-DEC,2012,3.05,3.46,177.8,71.0,Orthodox,0.38,0.52,1.1,0.33,2.67,0.56,145,1984,27,9,0,0,3.38,2.94,170.18,64.0,Orthodox,0.47,0.62,0.6,0.68,3.21,0.8,145,1987,22,11,0,0,28,25
UFC 146: Dos Santos vs Mir,Jason Miller,0.41,34,0,0,CB Dollaway,0.54,53,7,4,"Las Vegas, Nevada, USA",3,3,Middleweight,0,U-DEC,2012,2.3,1.83,185.42,75.0,Orthodox,0.43,0.49,1.3,0.28,1.31,0.43,185,1980,23,10,0,1,2.58,2.65,187.96,76.0,Orthodox,0.47,0.54,1.2,0.54,3.55,0.62,185,1983,17,9,0,0,32,29
UFC 146: Dos Santos vs Mir,Shane del Rosario,0.38,84,2,2,Stipe Miocic,0.65,49,0,0,"Las Vegas, Nevada, USA",3,2,Heavyweight,0,KO/TKO,2012,2.97,3.93,193.04,78.5,Southpaw,0.6,0.54,2.4,0.4,1.2,0.16,250,1983,11,2,0,0,3.82,4.82,193.04,80.0,Orthodox,0.53,0.54,0.0,0.34,1.86,0.68,240,1982,20,4,0,0,29,30
UFC 146: Dos Santos vs Mir,Dave Herman,0.5,4,0,0,Roy Nelson,0.37,8,0,0,"Las Vegas, Nevada, USA",3,1,Heavyweight,0,KO/TKO,2012,3.78,4.98,193.04,77.0,Orthodox,0.6,0.48,0.0,1.0,1.49,0.58,242,1984,22,6,0,0,4.79,2.18,182.88,73.0,Orthodox,0.36,0.46,0.1,0.27,1.14,0.65,263,1976,22,14,0,0,28,36
UFC 146: Dos Santos vs Mir,Junior Dos Santos,0.66,89,0,0,Frank Mir,0.45,37,4,0,"Las Vegas, Nevada, USA",5,2,Heavyweight,1,KO/TKO,2012,3.33,4.49,193.04,77.0,Orthodox,0.47,0.56,0.1,0.5,0.3,0.81,238,1984,21,9,0,0,3.84,2.18,190.5,79.0,Southpaw,0.47,0.38,2.0,0.4,2.02,0.54,264,1979,18,11,0,0,28,33
UFC 146: Dos Santos vs Mir,Edson Barboza,0.64,17,0,0,Jamie Varner,0.57,35,2,2,"Las Vegas, Nevada, USA",3,1,Lightweight,0,KO/TKO,2012,4.19,4.11,180.34,75.0,Orthodox,0.44,0.59,0.1,0.44,0.4,0.78,145,1986,22,10,0,0,2.55,2.92,172.72,71.0,Orthodox,0.34,0.58,0.8,0.53,3.49,0.66,155,1984,21,11,1,2,26,28
UFC on FUEL TV: Korean Zombie vs Poirier,Jeff Curran,0.2,152,2,0,Johnny Eduardo,0.33,154,0,0,"Fairfax, Virginia, USA",3,3,Bantamweight,0,U-DEC,2012,2.48,1.54,167.64000000000001,69.0,Orthodox,0.31,0.6,1.2,0.12,0.35,0.35,135,1977,36,18,1,0,3.34,2.89,170.18,71.0,Orthodox,0.38,0.63,0.5,0.0,0.0,0.62,135,1978,28,12,0,0,35,34
UFC on FUEL TV: Korean Zombie vs Poirier,Kamal Shalorus,0.5,10,0,0,Rafael Dos Anjos,0.16,12,1,0,"Fairfax, Virginia, USA",3,1,Lightweight,0,SUB,2012,2.99,3.06,172.72,68.0,Orthodox,0.32,0.7,0.0,0.5,2.07,0.8,155,1972,9,5,2,0,3.22,3.49,172.72,70.0,Southpaw,0.46,0.61,0.6,0.37,1.93,0.58,155,1984,30,13,0,0,40,28
UFC on FUEL TV: Korean Zombie vs Poirier,Brad Tavares,0.24,159,3,2,Dongi Yang,0.38,83,3,1,"Fairfax, Virginia, USA",3,3,Middleweight,1,U-DEC,2012,2.76,3.18,185.42,74.0,Orthodox,0.42,0.57,0.0,0.27,0.91,0.79,185,1987,19,7,0,0,3.21,3.55,177.8,73.0,Southpaw,0.51,0.63,0.5,0.41,1.7,0.61,185,1984,13,3,0,0,25,28
UFC on FUEL TV: Korean Zombie vs Poirier,TJ Grant,0.6,113,7,3,Carlo Prater,0.44,61,3,0,"Fairfax, Virginia, USA",3,3,Lightweight,1,U-DEC,2012,3.21,3.95,177.8,72.0,Orthodox,0.54,0.56,0.6,0.43,1.63,0.36,155,1984,21,5,0,0,4.07,2.03,180.34,72.0,Switch,0.47,0.35,1.7,0.09,0.43,0.57,155,1981,31,18,1,0,28,31
UFC 146: Dos Santos vs Mir,Antonio Silva,0.56,50,1,1,Cain Velasquez,0.5,2,0,0,"Las Vegas, Nevada, USA",3,1,Heavyweight,0,KO/TKO,2012,3.09,2.89,193.04,82.0,Orthodox,0.45,0.5,0.8,0.29,0.82,0.66,264,1979,19,12,1,0,2.33,6.37,185.42,77.0,Orthodox,0.57,0.57,0.4,0.45,5.13,0.85,240,1982,14,3,0,0,33,30
